Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_Chl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Aaron Ramsdale,eng ENG,GK,24,38,1,1,1,0,0,1,1,100,0,0,0,0,0,1,20,6
Gabriel Dos Santos,br BRA,DF,24,37.9,48,30,29,15,4,18,27,66.7,9,49,26,23,32,80,125,3
Bukayo Saka,eng ENG,FW,20,35.3,63,34,22,15,26,20,44,45.5,24,38,0,38,14,77,19,0
Martin Ødegaard,no NOR,MF,23,34.7,36,23,12,14,10,14,47,29.8,33,20,5,15,6,42,12,1
Ben White,eng ENG,DF,24,33.9,60,31,23,30,7,42,70,60,28,47,11,36,22,82,79,1
Granit Xhaka,ch SUI,MF,29,33.3,34,27,11,18,5,16,41,39,25,28,10,18,15,49,45,1
Gabriel Martinelli,br BRA,FW,21,31,31,18,13,12,6,9,22,40.9,13,24,1,23,9,40,14,0
Thomas Partey,gh GHA,MF,29,27.6,70,40,20,35,15,25,52,48.1,27,26,5,21,28,98,41,1
William Saliba,fr FRA,DF,21,26.8,34,20,23,9,2,15,18,83.3,3,13,10,3,19,53,85,4
Oleksandr Zinchenko,ua UKR,DF,25,23.5,40,18,14,17,9,21,40,52.5,19,20,2,18,22,62,38,2
Gabriel Jesus,br BRA,FW,25,22.9,33,25,16,8,9,15,31,48.4,16,27,3,24,11,44,15,1
Leandro Trossard,be BEL,FW,27,10.3,12,7,4,2,6,6,18,33.3,12,18,0,18,6,18,3,1
Eddie Nketiah,eng ENG,FW,23,12.1,13,9,6,2,5,2,10,20,8,7,1,6,1,14,7,0
Jorginho,it ITA,MF,30,9.5,18,13,6,10,2,5,24,20.8,19,7,2,5,9,27,8,0
Kieran Tierney,sct SCO,DF,25,8.8,20,11,9,9,2,12,16,75,4,8,2,6,11,31,25,0
Takehiro Tomiyasu,jp JPN,DF,23,7.4,27,18,12,10,5,13,18,72.2,5,7,0,7,14,41,15,1
Rob Holding,eng ENG,DF,26,6.3,8,5,4,4,0,3,6,50,3,6,5,1,3,11,27,1
Jakub Kiwior,pl POL,DF,22,4.7,7,5,6,1,0,5,8,62.5,3,5,3,2,6,13,10,0
Fabio Vieira,pt POR,"MF,FW",22,5.7,6,4,3,0,3,3,5,60,2,5,0,5,4,10,2,0
Albert Sambi Lokonga,be BEL,MF,22,2.2,1,1,0,0,1,0,2,0,2,1,0,1,5,6,2,0
Mohamed Elneny,eg EGY,MF,30,1.3,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
Reiss Nelson,eng ENG,FW,22,2.4,4,1,2,1,1,2,4,50,2,3,0,3,0,4,4,0
Emile Smith Rowe,eng ENG,"MF,FW",22,1.9,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,2,0
Cédric Soares,pt POR,DF,30,0.3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
Marquinhos,br BRA,MF,19,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ethan Nwaneri,eng ENG,FW,15,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
