Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Aaron Ramsdale,eng ENG,GK,24,38.0,1196,872,1170,28,0,0,1196,1,1,100.0,0,0.0,722,3934,2459,0,1,0,0,0,629,0
Gabriel Dos Santos,br BRA,DF,24,37.9,2776,307,1153,1419,215,53,2776,3,2,66.7,0,0.0,1746,8780,5471,18,43,3,19,4,1934,16
Bukayo Saka,eng ENG,FW,20,35.3,1882,21,160,474,1270,237,1879,161,61,37.9,69,42.9,1191,8403,4557,179,92,84,78,59,1361,520
Martin Ødegaard,no NOR,MF,23,34.7,2100,27,199,864,1060,122,2100,83,48,57.8,29,34.9,1284,6930,3022,83,60,26,42,45,1550,193
Ben White,eng ENG,DF,24,33.9,2532,103,554,1305,685,48,2532,29,8,27.6,15,51.7,1448,6506,3565,64,46,3,27,7,1698,124
Granit Xhaka,ch SUI,MF,29,33.3,1891,84,341,900,658,106,1891,28,15,53.6,10,35.7,1113,4243,2162,42,38,9,35,25,1397,175
Gabriel Martinelli,br BRA,FW,21,31.0,1490,19,129,419,965,223,1490,132,59,44.7,55,41.7,1019,7180,3297,124,65,70,83,56,1115,350
Thomas Partey,gh GHA,MF,29,27.6,2267,78,418,1406,466,29,2267,45,35,77.8,8,17.8,1398,6866,3847,34,38,3,33,19,1654,35
William Saliba,fr FRA,DF,21,26.8,2056,174,905,1094,64,15,2056,11,8,72.7,1,9.1,1323,6658,3908,13,14,1,15,6,1423,2
Oleksandr Zinchenko,ua UKR,DF,25,23.5,2112,77,463,1058,610,33,2112,25,15,60.0,9,36.0,1263,6899,3787,67,66,8,16,15,1398,68
Gabriel Jesus,br BRA,FW,25,22.9,1080,26,110,406,573,191,1079,111,44,39.6,49,44.1,642,3467,1517,44,31,28,88,65,799,194
Leandro Trossard,be BEL,FW,27,10.3,567,9,64,179,331,43,567,26,15,57.7,6,23.1,374,2386,1107,36,16,10,18,23,417,102
Eddie Nketiah,eng ENG,FW,23,12.1,407,10,35,157,221,87,407,34,15,44.1,13,38.2,259,1682,603,32,16,22,30,20,305,82
Jorginho,it ITA,MF,30,9.5,807,27,159,476,175,8,807,10,3,30.0,5,50.0,523,2399,1252,15,12,0,8,8,629,8
Kieran Tierney,sct SCO,DF,25,8.8,579,23,153,244,183,15,579,12,3,25.0,3,25.0,316,1802,837,25,12,3,7,0,338,31
Takehiro Tomiyasu,jp JPN,DF,23,7.4,557,26,138,293,130,17,557,4,1,25.0,2,50.0,311,1380,624,14,7,1,7,4,344,28
Rob Holding,eng ENG,DF,26,6.3,499,58,240,245,15,7,499,1,1,100.0,0,0.0,319,1466,881,3,1,1,3,0,339,2
Jakub Kiwior,pl POL,DF,22,4.7,248,31,124,103,22,3,248,1,1,100.0,0,0.0,141,530,171,0,3,0,0,0,148,6
Fabio Vieira,pt POR,"MF,FW",22,5.7,356,6,27,162,170,27,356,18,6,33.3,11,61.1,215,868,327,8,8,1,13,8,255,40
Albert Sambi Lokonga,be BEL,MF,22,2.2,154,6,32,95,29,0,154,2,1,50.0,0,0.0,96,393,145,0,6,0,1,1,113,2
Mohamed Elneny,eg EGY,MF,30,1.3,63,2,11,42,11,0,63,0,0,0.0,0,0.0,38,134,37,1,0,0,0,0,49,1
Reiss Nelson,eng ENG,FW,22,2.4,157,5,25,35,99,23,157,9,7,77.8,2,22.2,99,710,439,19,5,8,3,9,112,34
Emile Smith Rowe,eng ENG,"MF,FW",22,1.9,102,1,14,37,51,9,102,5,2,40.0,3,60.0,68,303,119,2,1,0,0,4,71,11
Cédric Soares,pt POR,DF,30,0.3,27,2,8,9,10,0,27,0,0,0.0,0,0.0,14,87,67,1,2,0,0,0,20,0
Marquinhos,br BRA,MF,19,0.0,3,0,0,2,1,0,3,0,0,0.0,0,0.0,2,6,1,0,0,0,0,0,3,0
Ethan Nwaneri,eng ENG,FW,15,0.0,1,0,0,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
