Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Aaron Ramsdale,eng ENG,GK,24,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0
Gabriel Dos Santos,br BRA,DF,24,38,38,3409,37.9,3,0,3,3,0,0,5,0,5.1,5.1,0.3,5.3,18,153,16
Bukayo Saka,eng ENG,FW,20,38,37,3181,35.3,14,11,25,12,2,3,6,0,11.2,9.1,8.5,17.6,179,109,520
Martin Ødegaard,no NOR,MF,23,37,37,3127,34.7,15,7,22,15,0,0,4,0,10.0,10.0,8.1,18.1,83,266,193
Ben White,eng ENG,DF,24,38,36,3055,33.9,2,5,7,2,0,0,5,0,1.3,1.3,3.2,4.5,64,249,124
Granit Xhaka,ch SUI,MF,29,37,36,2993,33.3,7,7,14,7,0,0,4,0,4.7,4.7,5.2,9.9,42,196,175
Gabriel Martinelli,br BRA,FW,21,36,34,2789,31.0,15,5,20,15,0,0,3,0,9.3,9.3,9.1,18.4,124,94,350
Thomas Partey,gh GHA,MF,29,33,28,2483,27.6,3,0,3,3,0,0,5,0,2.2,2.2,1.5,3.8,34,231,35
William Saliba,fr FRA,DF,21,27,27,2415,26.8,2,1,3,2,0,0,4,0,0.9,0.9,1.2,2.1,13,99,2
Oleksandr Zinchenko,ua UKR,DF,25,27,26,2118,23.5,1,2,3,1,0,0,3,0,1.4,1.4,1.4,2.8,67,227,68
Gabriel Jesus,br BRA,FW,25,26,24,2064,22.9,11,6,17,10,1,1,6,0,14.0,13.2,3.9,17.1,44,64,194
Leandro Trossard,be BEL,FW,27,20,10,931,10.3,1,10,11,1,0,0,0,0,1.8,1.8,4.7,6.6,36,57,102
Eddie Nketiah,eng ENG,FW,23,30,9,1089,12.1,4,1,5,4,0,0,3,0,8.2,8.2,1.3,9.5,32,15,82
Jorginho,it ITA,MF,30,14,9,855,9.5,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,15,99,8
Kieran Tierney,sct SCO,DF,25,27,6,795,8.8,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.7,25,36,31
Takehiro Tomiyasu,jp JPN,DF,23,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,14,51,28
Rob Holding,eng ENG,DF,26,14,6,566,6.3,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,3,24,2
Jakub Kiwior,pl POL,DF,22,7,5,427,4.7,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,6,6
Fabio Vieira,pt POR,"MF,FW",22,22,3,514,5.7,1,2,3,1,0,0,0,0,0.8,0.8,2.5,3.3,8,35,40
Albert Sambi Lokonga,be BEL,MF,22,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,2
Mohamed Elneny,eg EGY,MF,30,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1
Reiss Nelson,eng ENG,FW,22,11,0,212,2.4,3,2,5,3,0,0,0,0,1.1,1.1,1.4,2.5,19,6,34
Emile Smith Rowe,eng ENG,"MF,FW",22,12,0,172,1.9,0,2,2,0,0,0,0,0,0.3,0.3,0.7,1.0,2,7,11
Cédric Soares,pt POR,DF,30,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0
Marquinhos,br BRA,MF,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Ethan Nwaneri,eng ENG,FW,15,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
