Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2022-08-05,20:00,1,Fri,Away,W,2,0,Crystal Palace,1.0,1.2,44,25286,Martin Ødegaard,4-3-3,Anthony Taylor
2022-08-13,15:00,2,Sat,Home,W,4,2,Leicester City,2.7,0.5,50,60033,Martin Ødegaard,4-3-3,Darren England
2022-08-20,17:30,3,Sat,Away,W,3,0,Bournemouth,1.3,0.3,57,10423,Martin Ødegaard,4-3-3,Craig Pawson
2022-08-27,17:30,4,Sat,Home,W,2,1,Fulham,2.6,0.8,71,60164,Martin Ødegaard,4-3-3,Jarred Gillett
2022-08-31,19:30,5,Wed,Home,W,2,1,Aston Villa,2.4,0.4,59,60012,Martin Ødegaard,4-3-3,Robert Jones
2022-09-04,16:30,6,Sun,Away,L,1,3,Manchester Utd,1.3,1.5,60,73431,Martin Ødegaard,4-3-3,Paul Tierney
2022-09-18,12:00,8,Sun,Away,W,3,0,Brentford,1.5,0.5,63,17122,Granit Xhaka,4-3-3,David Coote
2022-10-01,12:30,9,Sat,Home,W,3,1,Tottenham,2.4,1.6,64,60278,Martin Ødegaard,4-3-3,Anthony Taylor
2022-10-09,16:30,10,Sun,Home,W,3,2,Liverpool,2.7,1.1,43,60059,Martin Ødegaard,4-3-3,Michael Oliver
2022-10-16,14:00,11,Sun,Away,W,1,0,Leeds United,0.5,1.8,53,36700,Martin Ødegaard,4-3-3,Chris Kavanagh
2022-10-23,14:00,13,Sun,Away,D,1,1,Southampton,1.0,0.7,59,31145,Martin Ødegaard,4-3-3,Robert Jones
2022-10-30,14:00,14,Sun,Home,W,5,0,Nott'ham Forest,2.3,0.4,69,60263,Martin Ødegaard,4-3-3,Simon Hooper
2022-11-06,12:00,15,Sun,Away,W,1,0,Chelsea,2.1,0.3,55,40142,Martin Ødegaard,4-3-3,Michael Oliver
2022-11-12,19:45,16,Sat,Away,W,2,0,Wolves,2.1,0.7,62,34624,Martin Ødegaard,4-3-3,Stuart Attwell
2022-12-26,20:00,17,Mon,Home,W,3,1,West Ham,2.1,1.0,66,60125,Martin Ødegaard,4-3-3,Michael Oliver
2022-12-31,17:30,18,Sat,Away,W,4,2,Brighton,2.9,1.2,32,31647,Martin Ødegaard,4-3-3,Anthony Taylor
2023-01-03,19:45,19,Tue,Home,D,0,0,Newcastle Utd,1.1,1.0,66,60319,Martin Ødegaard,4-3-3,Andy Madley
2023-01-15,16:30,20,Sun,Away,W,2,0,Tottenham,1.8,1.6,49,61870,Martin Ødegaard,4-3-3,Craig Pawson
2023-01-22,16:30,21,Sun,Home,W,3,2,Manchester Utd,3.1,0.4,57,60325,Martin Ødegaard,4-3-3,Anthony Taylor
2023-02-04,12:30,22,Sat,Away,L,0,1,Everton,0.9,1.7,70,39314,Martin Ødegaard,4-3-3,David Coote
2023-02-11,15:00,23,Sat,Home,D,1,1,Brentford,1.6,2.0,69,60254,Martin Ødegaard,4-3-3,Peter Bankes
2023-02-15,19:30,12,Wed,Home,L,1,3,Manchester City,1.6,1.8,63,60276,Martin Ødegaard,4-3-3,Anthony Taylor
2023-02-18,12:30,24,Sat,Away,W,4,2,Aston Villa,3.2,0.5,67,42066,Martin Ødegaard,4-3-3,Simon Hooper
2023-02-25,15:00,25,Sat,Away,W,1,0,Leicester City,0.7,0.0,65,32227,Oleksandr Zinchenko,4-3-3,Craig Pawson
2023-03-01,19:45,7,Wed,Home,W,4,0,Everton,2.6,1.2,73,60213,Martin Ødegaard,4-3-3,Michael Oliver
2023-03-04,15:00,26,Sat,Home,W,3,2,Bournemouth,2.1,1.3,79,60222,Martin Ødegaard,4-3-3,Chris Kavanagh
2023-03-12,14:00,27,Sun,Away,W,3,0,Fulham,2.3,0.8,55,24426,Martin Ødegaard,4-3-3,David Coote
2023-03-19,14:00,28,Sun,Home,W,4,1,Crystal Palace,1.6,0.8,62,60247,Martin Ødegaard,4-3-3,Stuart Attwell
2023-04-01,15:00,29,Sat,Home,W,4,1,Leeds United,3.8,0.7,66,60283,Martin Ødegaard,4-3-3,Darren England
2023-04-09,16:30,30,Sun,Away,D,2,2,Liverpool,1.4,3.9,41,53267,Martin Ødegaard,4-3-3,Paul Tierney
2023-04-16,14:00,31,Sun,Away,D,2,2,West Ham,2.7,1.8,70,62481,Martin Ødegaard,4-3-3,David Coote
2023-04-21,20:00,32,Fri,Home,D,3,3,Southampton,2.5,1.3,74,60175,Martin Ødegaard,4-3-3,Simon Hooper
2023-04-26,20:00,33,Wed,Away,L,1,4,Manchester City,0.5,2.5,48,53482,Martin Ødegaard,4-3-3,Michael Oliver
2023-05-02,20:00,34,Tue,Home,W,3,1,Chelsea,1.7,0.8,55,60144,Martin Ødegaard,4-3-3,Robert Jones
2023-05-07,16:30,35,Sun,Away,W,2,0,Newcastle Utd,1.3,1.3,45,50267,Martin Ødegaard,4-3-3,Chris Kavanagh
2023-05-14,16:30,36,Sun,Home,L,0,3,Brighton,0.9,1.7,41,60139,Martin Ødegaard,4-3-3,Andy Madley
2023-05-20,17:30,37,Sat,Away,L,0,1,Nott'ham Forest,0.6,0.6,81,29514,Martin Ødegaard,4-3-3,Anthony Taylor
2023-05-28,16:30,38,Sun,Home,W,5,0,Wolves,2.8,0.5,51,60095,Martin Ødegaard,4-3-3,Andre Marriner
